Nombre;Codigo;descripcion;Stock;StockMinimo;PrecioUnitario;Observaciones;Rentabilidad;Iva;CostoInterno;CodigoProveedor;Deposito;CodigoBarra;Rubro;SubRubro;Tipo;PrecioAutomatico
SOQUETES DEL ABORTO;100;SOQUETES DEL ABORTO;272;;279;;;21;37,88;;Maga;;Boxers;Mutz;;
BOMBACHA DE NENA ALGODÓN TALLE 1;10001;BOMBACHA DE NENA ALGODÓN TALLE 1;273;;305;;;21;133,33;;Maga;;Boxers;Mariana K;;
PAR DE SOQUETES LISOS DE HOMBRE RHYTON;100L;PAR DE SOQUETES LISOS DE HOMBRE RHYTON;3;;375;;;21;167,01;;Maga;;Medias;Rhyton;;
SUECO DE GOMA SEAWALK AZUL NAVY TALLE 19-20;100NAVYT1920;SUECO DE GOMA SEAWALK AZUL NAVY TALLE 19-20;3;;2840;;;21;1452,55;;Maga;;Medias;Seawalk;;
SUECO DE GOMA SEAWALK AZUL NAVY TALLE 21-22;100NAVYT2122;SUECO DE GOMA SEAWALK AZUL NAVY TALLE 21-22;3;;2840;;;21;1452,55;;Maga;;Medias;Seawalk;;
SUECO DE GOMA SEAWALK AZUL NAVY TALLE 23-24;100NAVYT2324;SUECO DE GOMA SEAWALK AZUL NAVY TALLE 23-24;3;;2840;;;21;1452,55;;Maga;;Medias;Seawalk;;
SUECO DE GOMA SEAWALK VERDE TALLE 19-20;100VERDET1920;SUECO DE GOMA SEAWALK VERDE TALLE 19-20;1;;2840;;;21;1452,55;;Maga;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK VERDE TALLE 21-22;100VERDET2122;SUECO DE GOMA SEAWALK VERDE TALLE 21-22;1;;2840;;;21;1452,55;;Maga;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK VERDE TALLE 23-24;100VERDET2324;SUECO DE GOMA SEAWALK VERDE TALLE 23-24;1;;2840;;;21;1452,55;;Maga;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK VERDE TALLE 31-32;100VERDET3132;SUECO DE GOMA SEAWALK VERDE TALLE 31-32;1;;2840;;;21;1452,55;;Maga;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK VERDE TALLE 33-34;100VERDET3334;SUECO DE GOMA SEAWALK VERDE TALLE 33-34;2;;2840;;;21;1452,55;;Maga;;Calzado;Seawalk;;
