Nombre;Codigo;descripcion;Stock;StockMinimo;PrecioUnitario;Observaciones;Rentabilidad;Iva;CostoInterno;CodigoProveedor;Deposito;CodigoBarra;Rubro;SubRubro;Tipo;PrecioAutomatico
SUECO DE GOMA SEAWALK FUCSIA TALLE 19-20;100FUCSIAT1920;SUECO DE GOMA SEAWALK FUCSIA TALLE 19-20;3;;2850;;;21;1452,55;;Principal;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK FUCSIA TALLE 21-22;100FUCSIAT2122;SUECO DE GOMA SEAWALK FUCSIA TALLE 21-22;3;;2850;;;21;1452,55;;Principal;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK FUCSIA TALLE 27-28;100FUCSIAT2728;SUECO DE GOMA SEAWALK FUCSIA TALLE 27-28;5;;2850;;;21;1452,55;;Principal;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK FUCSIA TALLE 31-32;100FUCSIAT3132;SUECO DE GOMA SEAWALK FUCSIA TALLE 31-32;3;;2850;;;21;1452,55;;Principal;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK FUCSIA TALLE 33-34;100FUCSIAT3334;SUECO DE GOMA SEAWALK FUCSIA TALLE 33-34;8;;2850;;;21;1452,55;;Principal;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK AZUL NAVY TALLE 19-20;100NAVYT1920;SUECO DE GOMA SEAWALK AZUL NAVY TALLE 19-20;3;;2850;;;21;1452,55;;Principal;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK AZUL NAVY TALLE 29-30;100NAVYT2930;SUECO DE GOMA SEAWALK AZUL NAVY TALLE 29-30;4;;2850;;;21;1452,55;;Principal;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK VERDE TALLE 23-24;100VERDET2324;SUECO DE GOMA SEAWALK VERDE TALLE 23-24;12;;2850;;;21;1452,55;;Principal;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK VERDE TALLE 25-26;100VERDET2526;SUECO DE GOMA SEAWALK VERDE TALLE 25-26;5;;2850;;;21;1452,55;;Principal;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK VERDE TALLE 27-28;100VERDET2728;SUECO DE GOMA SEAWALK VERDE TALLE 27-28;2;;2850;;;21;1452,55;;Principal;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK VERDE TALLE 29-30;100VERDET2930;SUECO DE GOMA SEAWALK VERDE TALLE 29-30;3;;2850;;;21;1452,55;;Principal;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK VERDE TALLE 31-32;100VERDET3132;SUECO DE GOMA SEAWALK VERDE TALLE 31-32;2;;2850;;;21;1452,55;;Principal;;Calzado;Seawalk;;
SUECO DE GOMA SEAWALK VERDE TALLE 33-34;100VERDET3334;SUECO DE GOMA SEAWALK VERDE TALLE 33-34;5;;2850;;;21;1452,55;;Principal;;Calzado;Seawalk;;
BARBIJO ERGONÓMICO ANTIBACTERIAL AZUL;1010A;BARBIJO ERGONÓMICO ANTIBACTERIAL AZUL;14;;80;;;21;50;;Principal;;Toallas;Mutz;;
BARBIJO ERGONÓMICO ANTIBACTERIAL PIEL;1010P;BARBIJO ERGONÓMICO ANTIBACTERIAL PIEL;9;;80;;;21;50;;Principal;;Toallas;Mutz;;
BARBIJO ERGONÓMICO ANTIBACTERIAL VERDE;1010V;BARBIJO ERGONÓMICO ANTIBACTERIAL VERDE;3;;80;;;21;50;;Principal;;Toallas;Mutz;;
BOXER BARAK DE NIÑO LISO TALLE 6;1016;BOXER BARAK DE NIÑO LISO TALLE 6;29;;730;;;21;294,21;;Principal;;Boxers;Barak;;
BOXER BARAK DE NIÑO LISO TALLE 8;1018;BOXER BARAK DE NIÑO LISO TALLE 8;18;;730;;;21;294,21;;Principal;;Boxers;Barak;;
PAR DE SOQUETES 1/2 CAÑA AZULES TALLE 1 INFANTIL DE NENA ELEMENTO;104AZ1;PAR DE SOQUETES 1/2 CAÑA AZULES TALLE 1 INFANTIL DE NENA ELEMENTO;180;;380;;;21;154,99;;Principal;;Medias;Elemento;;
PAR DE SOQUETES 1/2 CAÑA AZULES TALLE 2 INFANTIL DE NENA ELEMENTO;104AZ2;PAR DE SOQUETES 1/2 CAÑA AZULES TALLE 2 INFANTIL DE NENA ELEMENTO;171;;380;;;21;169,18;;Principal;;Medias;Elemento;;
PAR DE SOQUETES 1/2 CAÑA AZULES TALLE 3 INFANTIL DE NENA ELEMENTO;104AZ3;PAR DE SOQUETES 1/2 CAÑA AZULES TALLE 3 INFANTIL DE NENA ELEMENTO;180;;380;;;21;169,18;;Principal;;Medias;Elemento;;
BOMBACHITA DE DE NENA CHERRY TALLE 8;1058;BOMBACHITA DE DE NENA CHERRY TALLE 8;16;;475;;;21;211,11;;Principal;;Basica;Cherry;;
PAR DE SOQUETES 1/2 CAÑA AZULES TALLE 5 INFANTIL DE NENA ELEMENTO;105AZ5;PAR DE SOQUETES 1/2 CAÑA AZULES TALLE 5 INFANTIL DE NENA ELEMENTO;180;;420;;;21;189,39;;Principal;;Medias;Elemento;;
PAR DE MEDIAS 1/2 CAÑA AZULES TALLE 1 INFANTIL DE NENA ELEMENTO;1070AZ1;PAR DE MEDIAS 1/2 CAÑA AZULES TALLE 1 INFANTIL DE NENA ELEMENTO;177;;435;;;21;178,53;;Principal;;Medias;Elemento;;
PAR DE MEDIAS 1/2 CAÑA AZULES TALLE 2 INFANTIL DE NENA ELEMENTO;1070AZ2;PAR DE MEDIAS 1/2 CAÑA AZULES TALLE 2 INFANTIL DE NENA ELEMENTO;180;;435;;;21;202,42;;Principal;;Medias;Elemento;;
PAR DE MEDIAS 1/2 CAÑA AZULES TALLE 3 INFANTIL DE NENA ELEMENTO;1070AZ3;PAR DE MEDIAS 1/2 CAÑA AZULES TALLE 3 INFANTIL DE NENA ELEMENTO;168;;435;;;21;202,42;;Principal;;Medias;Elemento;;
PAR DE MEDIAS 1/2 CAÑA AZULES TALLE 4 INFANTIL DE NENA ELEMENTO;1070AZ4;PAR DE MEDIAS 1/2 CAÑA AZULES TALLE 4 INFANTIL DE NENA ELEMENTO;177;;520;;;21;244,34;;Principal;;Medias;Elemento;;
TOALLA DE SECADO RÁPIDO 70*140 AZUL FRANCIA;111AF;TOALLA DE SECADO RÁPIDO 70*140 AZUL FRANCIA;16;;2900;;;21;1339,59;;Principal;;Toallas;Amarelo;;
TOALLA DE SECADO RÁPIDO 70*140 AMARILLO;111AM;TOALLA DE SECADO RÁPIDO 70*140 AMARILLO;20;;2900;;;21;1339,59;;Principal;;Toallas;Amarelo;;
TOALLA DE SECADO RÁPIDO 70*140 BORDO;111BO;TOALLA DE SECADO RÁPIDO 70*140 BORDO;21;;2900;;;21;1339,59;;Principal;;Toallas;Amarelo;;
TOALLA DE SECADO RÁPIDO 70*140 LAVANDA;111LA;TOALLA DE SECADO RÁPIDO 70*140 LAVANDA;3;;2900;;;21;1339,59;;Principal;;Toallas;Amarelo;;
TOALLA DE SECADO RÁPIDO 70*140 AZUL MARINO;111MA;TOALLA DE SECADO RÁPIDO 70*140 AZUL MARINO;13;;2900;;;21;1339,59;;Principal;;Toallas;Amarelo;;
TOALLA DE SECADO RÁPIDO 70*140 NARANJA;111NA;TOALLA DE SECADO RÁPIDO 70*140 NARANJA;6;;2900;;;21;1339,59;;Principal;;Toallas;Amarelo;;
TOALLA DE SECADO RÁPIDO 70*140 ROJO;111RJ;TOALLA DE SECADO RÁPIDO 70*140 ROJO;50;;2900;;;21;1339,59;;Principal;;Toallas;Amarelo;;
TOALLA DE SECADO RÁPIDO 70*140 ROSA;111RO;TOALLA DE SECADO RÁPIDO 70*140 ROSA;10;;2900;;;21;1339,59;;Principal;;Toallas;Amarelo;;
TOALLA DE SECADO RÁPIDO 70*140 VERDE AGUA;111VA;TOALLA DE SECADO RÁPIDO 70*140 VERDE AGUA;17;;2900;;;21;1339,59;;Principal;;Toallas;Amarelo;;
TOALLA DE SECADO RÁPIDO 70*140 VIOLETA CLARO;111VC;TOALLA DE SECADO RÁPIDO 70*140 VIOLETA CLARO;15;;2900;;;21;1339,59;;Principal;;Toallas;Amarelo;;
TOALLA DE SECADO RÁPIDO 70*140 VERDE;111VE;TOALLA DE SECADO RÁPIDO 70*140 VERDE;9;;2900;;;21;1339,59;;Principal;;Toallas;Amarelo;;
PANTALÓN PIJAMA ALGODÓN Y LYCRA DUFOUR NEGRO TALLE L;11857NL;PANTALÓN PIJAMA ALGODÓN Y LYCRA DUFOUR NEGRO TALLE L;8;;3950;;;21;2077,67;;Principal;;Pijamas;Dufour;;
PANTALÓN PIJAMA ALGODÓN Y LYCRA DUFOUR NEGRO TALLE M;11857NM;PANTALÓN PIJAMA ALGODÓN Y LYCRA DUFOUR NEGRO TALLE M;9;;3950;;;21;2077,67;;Principal;;Pijamas;Dufour;;
PANTALÓN PIJAMA ALGODÓN Y LYCRA DUFOUR NEGRO TALLE S;11857NS;PANTALÓN PIJAMA ALGODÓN Y LYCRA DUFOUR NEGRO TALLE S;6;;3950;;;21;2077,67;;Principal;;Pijamas;Dufour;;
PANTALÓN PIJAMA ALGODÓN Y LYCRA DUFOUR NEGRO TALLE XL;11857NXL;PANTALÓN PIJAMA ALGODÓN Y LYCRA DUFOUR NEGRO TALLE XL;6;;3950;;;21;2077,67;;Principal;;Pijamas;Dufour;;
BOXER RAYADO SEAMLESS DE NIÑO DUFOUR TALLE 4;118694;BOXER RAYADO SEAMLESS DE NIÑO DUFOUR TALLE 4;25;;899;;;21;388,97;;Principal;;Boxers;Dufour;;
REMERA PIJAMA JERSEY ALGODÓN MANGA LARGA DUFOUR NEGRA TALLE L;11899NL;REMERA PIJAMA JERSEY ALGODÓN MANGA LARGA DUFOUR NEGRA TALLE L;6;;2450;;;21;1211,98;;Principal;;Pijamas;Dufour;;
REMERA PIJAMA JERSEY ALGODÓN MANGA LARGA DUFOUR NEGRA TALLE M;11899NM;REMERA PIJAMA JERSEY ALGODÓN MANGA LARGA DUFOUR NEGRA TALLE M;5;;2450;;;21;1211,98;;Principal;;Pijamas;Dufour;;
