Nombre;Codigo;descripcion;Stock;StockMinimo;PrecioUnitario;Observaciones;Rentabilidad;Iva;CostoInterno;CodigoProveedor;Deposito;CodigoBarra;Rubro;SubRubro;Tipo;PrecioAutomatico
Pijama Corona Short Rosa Musc Blanca Talle 1;5975RB1;Pijama Corona Short Rosa Musc Blanca Talle 1;;;2899;;;21;1360;In;Maga;;Pijamas;Mariana K;;
Pijama Corona Short Rosa Musc Blanca Talle 2;5975RB2;Pijama Corona Short Rosa Musc Blanca Talle 2;;;2899;;;21;1360;In;Maga;;Pijamas;Mariana K;;
Pijama Corona Short Rosa Musc Blanca Talle 3;5975RB3;Pijama Corona Short Rosa Musc Blanca Talle 3;;;2899;;;21;1480;In;Maga;;Pijamas;Mariana K;;
Pijama Corona Short Rosa Musc Blanca Talle 4;5975RB4;Pijama Corona Short Rosa Musc Blanca Talle 4;;;2899;;;21;1480;In;Maga;;Pijamas;Mariana K;;
Pijama Corona Short Rosa Musc Rosa Talle 1;5975RR1;Pijama Corona Short Rosa Musc Rosa Talle 1;;;2899;;;21;1360;In;Maga;;Pijamas;Mariana K;;
Pijama Corona Short Rosa Musc Rosa Talle 2;5975RR2;Pijama Corona Short Rosa Musc Rosa Talle 2;;;2899;;;21;1360;In;Maga;;Pijamas;Mariana K;;
Pijama Corona Short Rosa Musc Rosa Talle 3;5975RR3;Pijama Corona Short Rosa Musc Rosa Talle 3;;;2899;;;21;1480;In;Maga;;Pijamas;Mariana K;;
Pijama Corona Short Rosa Musc Rosa Talle 4;5975RR4;Pijama Corona Short Rosa Musc Rosa Talle 4;;;2899;;;21;1480;In;Maga;;Pijamas;Mariana K;;
Pijama Corona Short Celeste Musc Blanca Talle 1;5975CB1;Pijama Corona Short Celeste Musc Blanca Talle 1;;;2899;;;21;1360;In;Maga;;Pijamas;Mariana K;;
Pijama Corona Short Celeste Musc Blanca Talle 2;5975CB2;Pijama Corona Short Celeste Musc Blanca Talle 2;;;2899;;;21;1360;In;Maga;;Pijamas;Mariana K;;
Pijama Corona Short Celeste Musc Blanca Talle 3;5975CB3;Pijama Corona Short Celeste Musc Blanca Talle 3;;;2899;;;21;1480;In;Maga;;Pijamas;Mariana K;;
Pijama Corona Short Celeste Musc Blanca Talle 4;5975CB4;Pijama Corona Short Celeste Musc Blanca Talle 4;;;2899;;;21;1480;In;Maga;;Pijamas;Mariana K;;
Pijama Corona Short Celeste Musc Celeste Talle 1;5975CC1;Pijama Corona Short Celeste Musc Celeste Talle 1;;;2899;;;21;1360;In;Maga;;Pijamas;Mariana K;;
Pijama Corona Short Celeste Musc Celeste Talle 2;5975CC2;Pijama Corona Short Celeste Musc Celeste Talle 2;;;2899;;;21;1360;In;Maga;;Pijamas;Mariana K;;
Pijama Corona Short Celeste Musc Celeste Talle 3;5975CC3;Pijama Corona Short Celeste Musc Celeste Talle 3;;;2899;;;21;1480;In;Maga;;Pijamas;Mariana K;;
Pijama Corona Short Celeste Musc Celeste Talle 4;5975CC4;Pijama Corona Short Celeste Musc Celeste Talle 4;;;2899;;;21;1480;In;Maga;;Pijamas;Mariana K;;
;;;;;;;;;;;;;;;;
Remeron de Mujer Coral Talle 1;5982CO1;Remeron de Mujer Coral Talle 1;;;2499;;;21;1160;In;Maga;;Pijamas;Mariana K;;
Remeron de Mujer Coral Talle 2;5982CO2;Remeron de Mujer Coral Talle 2;;;2499;;;21;1160;In;Maga;;Pijamas;Mariana K;;
Remeron de Mujer Coral Talle 3;5982CO3;Remeron de Mujer Coral Talle 3;;;2499;;;21;1240;In;Maga;;Pijamas;Mariana K;;
Remeron de Mujer Coral Talle 4;5982CO4;Remeron de Mujer Coral Talle 4;;;2499;;;21;1240;In;Maga;;Pijamas;Mariana K;;
